Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status,Collection
mcfarlane-dc-direct-superman-limited-edition-collector-vinyl-todds-mods,McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's Mods),"<h2>McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's Mods)</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Action Figures</td></tr><tr><td><strong>UPC</strong></td><td>0787926150957</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146603848611"">#146603848611</a></small></p>",Collectiblethang,Toys & Collectibles,Action Figures,"condition:new, ebay-cat:action-figures, currency:cad, ebay:146603848611",TRUE,Title,Default Title,EBAY-146603848611,0,shopify,2,deny,manual,24.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/P-0AAOSwyrZoMm94/s-l1600.jpg,1,McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's Mods),FALSE,McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's M,"McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's Mods)
ConditionNewCategoryAction FiguresUPC0787926150957
eBay: #146603848611",Toys & Games > Toys > Action Figures,,kg,active,Action Figures
mcfarlane-dc-direct-superman-limited-edition-collector-vinyl-todds-mods,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/k~AAAOSw6ONoMm94/s-l1600.jpg,2,McFarlane DC Direct Superman Limited Edition Collector Vinyl (Todd's Mods) - Image 2,,,,,,,,
the-last-faith-playstation-5-brand-new-and-sealed-north-america,The Last Faith PlayStation 5 Brand NEW And SEALED North America,"<h2>The Last Faith PlayStation 5 Brand NEW And SEALED North America</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>Brand New</td></tr><tr><td><strong>Category</strong></td><td>Video Games</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146604971431"">#146604971431</a></small></p>",Collectiblethang,Video Games,Video Games,"condition:new, ebay-cat:video-games, currency:cad, ebay:146604971431",TRUE,Title,Default Title,EBAY-146604971431,0,shopify,5,deny,manual,70.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/DeEAAeSw1oBnyRrX/s-l1600.jpg,1,The Last Faith PlayStation 5 Brand NEW And SEALED North America,FALSE,The Last Faith PlayStation 5 Brand NEW And SEALED North America,"The Last Faith PlayStation 5 Brand NEW And SEALED North America
ConditionBrand NewCategoryVideo Games
eBay: #146604971431",Electronics > Video Games & Consoles,,kg,active,Video Games
the-last-faith-playstation-5-brand-new-and-sealed-north-america,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/4C0AAeSwKXVnyRrf/s-l1600.jpg,2,The Last Faith PlayStation 5 Brand NEW And SEALED North America - Image 2,,,,,,,,
the-last-faith-xbox-series-x-xbox-one-brand-ui-new-and-sealed-fast-shipping,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping!,"<h2>The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping!</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>Brand New</td></tr><tr><td><strong>Category</strong></td><td>Video Games</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146604971854"">#146604971854</a></small></p>",Collectiblethang,Video Games,Video Games,"condition:new, ebay-cat:video-games, currency:cad, ebay:146604971854",TRUE,Title,Default Title,EBAY-146604971854,0,shopify,2,deny,manual,65.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/nHYAAeSwhhln2jTI/s-l1600.jpg,1,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping!,FALSE,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast,"The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping!
ConditionBrand NewCategoryVideo Games
eBay: #146604971854",Electronics > Video Games & Consoles,,kg,active,Video Games
the-last-faith-xbox-series-x-xbox-one-brand-ui-new-and-sealed-fast-shipping,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/1s0AAeSwyI1n2jTR/s-l1600.jpg,2,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping! - Image 2,,,,,,,,
the-last-faith-xbox-series-x-xbox-one-brand-ui-new-and-sealed-fast-shipping,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/kbQAAeSwritn2jTa/s-l1600.jpg,3,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping! - Image 3,,,,,,,,
the-last-faith-xbox-series-x-xbox-one-brand-ui-new-and-sealed-fast-shipping,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/k-cAAeSwVcVn2jTk/s-l1600.jpg,4,The Last Faith Xbox Series X & Xbox One Brand: U&I New And Sealed Fast Shipping! - Image 4,,,,,,,,
the-last-of-us-playstation-action-figures-master-joel-and-ellie-6-collector-new,The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New,"<h2>The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Action Figures</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146620835078"">#146620835078</a></small></p>",Collectiblethang,Toys & Collectibles,Action Figures,"condition:new, ebay-cat:action-figures, currency:cad, ebay:146620835078",TRUE,Title,Default Title,EBAY-146620835078,0,shopify,1,deny,manual,99.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/PuwAAeSwcOtoPPgJ/s-l1600.jpg,1,The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New,FALSE,The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Col,"The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New
ConditionNewCategoryAction Figures
eBay: #146620835078",Toys & Games > Toys > Action Figures,,kg,active,Action Figures
the-last-of-us-playstation-action-figures-master-joel-and-ellie-6-collector-new,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/PGMAAeSwRmpoPPgY/s-l1600.jpg,2,The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New - Image 2,,,,,,,,
the-last-of-us-playstation-action-figures-master-joel-and-ellie-6-collector-new,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/PyYAAeSwcOtoPPgl/s-l1600.jpg,3,The Last of Us PlayStation Action Figures Master Joel and Ellie 6” Collector New - Image 3,,,,,,,,
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1,"<h2>Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Cars, Trucks & Motorcycles</td></tr><tr><td><strong>UPC</strong></td><td>Does not apply</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146775811222"">#146775811222</a></small></p>",Collectiblethang,Toys & Collectibles,Die-Cast Vehicles,"condition:new, ebay-cat:cars-trucks-motorcycles, currency:cad, ebay:146775811222",TRUE,Title,Default Title,EBAY-146775811222,0,shopify,1,deny,manual,95.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/GugAAeSwXWxoiqb7/s-l1600.jpg,1,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1,FALSE,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Li,"Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1
ConditionNewCategoryCars, Trucks & MotorcyclesUPCDoes not apply
eBay: #146775811222",Toys & Games > Toys,,kg,active,Die-Cast Vehicles
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/OBwAAeSwjjFooeA-/s-l1600.jpg,2,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1 - Image 2,,,,,,,,
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/COcAAeSwIahood~9/s-l1600.jpg,3,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1 - Image 3,,,,,,,,
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/1~0AAeSwHjhooeAP/s-l1600.jpg,4,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1 - Image 4,,,,,,,,
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/aOAAAeSwDcNooeAn/s-l1600.jpg,5,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1 - Image 5,,,,,,,,
maisto-tech-110-rc-ferrari-sf23-formula-1-car-charles-leclerc-16-licensed-f1,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/O8sAAeSwdN9ooeAz/s-l1600.jpg,6,Maisto Tech 1:10 RC Ferrari SF23 Formula 1 Car  Charles Leclerc #16 Licensed F1 - Image 6,,,,,,,,
polly-pocket-pet-adventure-treehouse-rainbow-unicorn-salon-playset-2in1-bundle,Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2in1 Bundle,"<h2>Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2in1 Bundle</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Dolls & Doll Playsets</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146778299106"">#146778299106</a></small></p>",Collectiblethang,Toys & Collectibles,Dolls,"condition:new, ebay-cat:dolls-doll-playsets, currency:cad, ebay:146778299106",TRUE,Title,Default Title,EBAY-146778299106,0,shopify,1,deny,manual,80.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/BQ0AAeSwZlhookz5/s-l1600.jpg,1,Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2in1 Bundle,FALSE,Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2,"Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2in1 Bundle
ConditionNewCategoryDolls & Doll Playsets
eBay: #146778299106",Toys & Games > Toys > Dolls,,kg,active,Dolls
polly-pocket-pet-adventure-treehouse-rainbow-unicorn-salon-playset-2in1-bundle,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/B-MAAeSwbIRook0H/s-l1600.jpg,2,Polly Pocket Pet Adventure Treehouse + Rainbow Unicorn Salon Playset 2in1 Bundle - Image 2,,,,,,,,
